# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1761192375294000000,1761192435505000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761192375294000000,1761192435505000000,11322
FilePageCacheLockFree.totalPagesReadMs,1761192375294000000,1761192435505000000,0
DirectByteBufferAllocator.reclaimed,1761192375294000000,1761192435505000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761192375294000000,1761192435505000000,0
MappedFileStorage.totalBytesMapped,1761192375294000000,1761192435505000000,190054400
FilePageCacheLockFree.totalPagesRequestsMs,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761192375294000000,1761192435505000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761192375294000000,1761192435505000000,0
DirectByteBufferAllocator.disposed,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761192375294000000,1761192435505000000,0
FilePageCache.totalPageDisposalsUs,1761192375294000000,1761192435505000000,858
FilePageCache.pageLoads,1761192375294000000,1761192435505000000,204
StorageLockContext.competingThreads.90P,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.totalBytesRead,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.totalBytesWritten,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.heapBytesInUse,1761192375294000000,1761192435505000000,0
FilePageCache.uncachedFileAccess,1761192375294000000,1761192435505000000,120
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761192375294000000,1761192435505000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761192375294000000,1761192435505000000,0
FilePageCache.capacityInBytes,1761192375294000000,1761192435505000000,503316478
FilePageCacheLockFree.housekeeperTurnsSkipped,1761192375294000000,1761192435505000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761192375294000000,1761192435505000000,549210
FilePageCache.maxCacheSizeInBytes,1761192375294000000,1761192435505000000,208683008
FilePageCacheLockFree.totalPagesAllocated,1761192375294000000,1761192435505000000,0
DirectByteBufferAllocator.hits,1761192375294000000,1761192435505000000,3
FilePageCacheLockFree.totalBytesRequested,1761192375294000000,1761192435505000000,0
FilePageCache.disposedBuffers,1761192375294000000,1761192435505000000,3
