# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.iml.entities.serializer.save.entities.ms,1761190779221000000,1761190839239000000,0
jps.global.initialize.library.bridges.after.loading.ms,1761190779221000000,1761190839239000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1761190779221000000,1761190839239000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1761190779221000000,1761190839239000000,0
workspaceModel.do.save.caches.ms,1761190779221000000,1761190839239000000,60
jps.facet.change.listener.init.bridge.ms,1761190779221000000,1761190839239000000,0
jps.global.get.library.by.name.ms,1761190779221000000,1761190839239000000,0
jps.load.project.to.empty.storage.ms,1761190779221000000,1761190839239000000,63
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761190779221000000,1761190839239000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1761190779221000000,1761190839239000000,5023
workspaceModel.save.cache.to.file.ms,1761190779221000000,1761190839239000000,59
workspaceModel.mutableEntityStorage.add.entity.ms,1761190779221000000,1761190839239000000,83
workspaceModel.global.updates.count,1761190779221000000,1761190839239000000,1
jps.artifact.entities.serializer.load.entities.ms,1761190779221000000,1761190839239000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761190779221000000,1761190839239000000,0
workspaceModel.global.apply.state.to.project.ms,1761190779221000000,1761190839239000000,12
jps.global.initialize.library.bridges.ms,1761190779221000000,1761190839239000000,20
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761190779221000000,1761190839239000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1761190779221000000,1761190839239000000,0
jps.global.get.libraries.ms,1761190779221000000,1761190839239000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761190779221000000,1761190839239000000,46
jps.facet.change.listener.process.change.events.ms,1761190779221000000,1761190839239000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761190779221000000,1761190839239000000,0
jps.save.changed.project.entities.ms,1761190779221000000,1761190839239000000,5
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761190779221000000,1761190839239000000,87
workspaceModel.mutableEntityStorage.resolve.ms,1761190779221000000,1761190839239000000,1
workspaceModel.orphan.listener.update.ms,1761190779221000000,1761190839239000000,1
workspaceModel.moduleBridge.before.changed.ms,1761190779221000000,1761190839239000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761190779221000000,1761190839239000000,1
workspaceModel.mutableEntityStorage.entities.ms,1761190779221000000,1761190839239000000,0
jps.app.storage.content.writer.save.component.ms,1761190779221000000,1761190839239000000,40
workspaceModel.moduleManagerBridge.load.module.ms,1761190779221000000,1761190839239000000,0
workspaceModel.load.cache.from.file.ms,1761190779221000000,1761190839239000000,286
jps.library.entities.serializer.load.entities.ms,1761190779221000000,1761190839239000000,9
workspaceModel.mutableEntityStorage.instances.count,1761190779221000000,1761190839239000000,54
jps.save.global.entities.ms,1761190779221000000,1761190839239000000,83
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761190779221000000,1761190839239000000,1
jps.global.handle.before.change.events.ms,1761190779221000000,1761190839239000000,0
workspaceModel.sync.entities.ms,1761190779221000000,1761190839239000000,0
jps.library.entities.serializer.save.entities.ms,1761190779221000000,1761190839239000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761190779221000000,1761190839239000000,0
jps.reload.project.entities.ms,1761190779221000000,1761190839239000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761190779221000000,1761190839239000000,4
workspaceModel.mutableEntityStorage.remove.entity.ms,1761190779221000000,1761190839239000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761190779221000000,1761190839239000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761190779221000000,1761190839239000000,363
jps.app.storage.content.reader.load.component.ms,1761190779221000000,1761190839239000000,3
workspaceModel.global.apply.state.to.project.builder.ms,1761190779221000000,1761190839239000000,2
workspaceModel.moduleBridge.facet.initialization.ms,1761190779221000000,1761190839239000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761190779221000000,1761190839239000000,3
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761190779221000000,1761190839239000000,0
jps.project.serializers.save.ms,1761190779221000000,1761190839239000000,3
jps.project.serializers.load.ms,1761190779221000000,1761190839239000000,34
jps.load.initial.state.ms,1761190779221000000,1761190839239000000,6
workspaceModel.global.updates.ms,1761190779221000000,1761190839239000000,6
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1761190779221000000,1761190839239000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761190779221000000,1761190839239000000,0
jps.global.handle.changed.events.ms,1761190779221000000,1761190839239000000,0
workspaceModel.moduleBridge.update.option.ms,1761190779221000000,1761190839239000000,0
jps.apply.loaded.storage.ms,1761190779221000000,1761190839239000000,4956
jps.storage.jps.conf.reader.load.component.ms,1761190779221000000,1761190839239000000,20
jps.global.get.library.ms,1761190779221000000,1761190839239000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761190779221000000,1761190839239000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1761190779221000000,1761190839239000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1761190779221000000,1761190839239000000,0
