# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsStoredSize,1761192269551000000,1761192329574000000,0
FileNameCache.totalMisses,1761192269551000000,1761192329574000000,61760
VFS.contentStorage.recordsUncompressedSize,1761192269551000000,1761192329574000000,0
VFS.fileChildByName,1761192269551000000,1761192329574000000,4166
VFS.contentStorage.recordsRead,1761192269551000000,1761192329574000000,19
VFS.contentStorage.recordsDeduplicated,1761192269551000000,1761192329574000000,0
VFS.contentStorage.recordsStored,1761192269551000000,1761192329574000000,0
VFS.contentStorage.recordsReadSize,1761192269551000000,1761192329574000000,329903
FileNameCache.queries,1761192269551000000,1761192329574000000,1996288
VFS.fileByIdCache.misses,1761192269551000000,1761192329574000000,76
VFS.contentStorage.recordsStoredCompressed,1761192269551000000,1761192329574000000,0
VFS.fileByIdCache.hits,1761192269551000000,1761192329574000000,0
VFS.invertedFileNameIndex.requests,1761192269551000000,1761192329574000000,0
VFS.contentStorage.recordsReadDecompressed,1761192269551000000,1761192329574000000,5
VFS.contentStorage.recordsDecompressionTimeUs,1761192269551000000,1761192329574000000,8428
JVM.totalDirectByteBuffersBytes,1761192269551000000,1761192329574000000,221208204
JVM.newThreadsCount,1761192269551000000,1761192329574000000,138
JVM.GC.collectionTimesMs,1761192269551000000,1761192329574000000,448
OS.loadAverage,1761192269551000000,1761192329574000000,3.78271484375
JVM.threadCount,1761192269551000000,1761192329574000000,123
JVM.GC.collections,1761192269551000000,1761192329574000000,49
JVM.totalCpuTimeMs,1761192269551000000,1761192329574000000,49040
JVM.usedHeapBytes,1761192269551000000,1761192329574000000,454006304
JVM.usedNativeBytes,1761192269551000000,1761192329574000000,361381592
JVM.totalBytesAllocated,1761192269551000000,1761192329574000000,2309992640
JVM.maxThreadCount,1761192269551000000,1761192329574000000,124
JVM.maxHeapBytes,1761192269551000000,1761192329574000000,2147483648
JVM.totalSafepointCount,1761192269551000000,1761192329574000000,230
JVM.totalTimeToSafepointsMs,1761192269551000000,1761192329574000000,46
JVM.totalTimeAtSafepointsMs,1761192269551000000,1761192329574000000,467
StorageLockContext.competingThreads.max,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1761192269551000000,1761192329574000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalBytesRequested,1761192269551000000,1761192329574000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761192269551000000,1761192329574000000,549210
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761192269551000000,1761192329574000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1761192269551000000,1761192329574000000,0
FilePageCache.maxRegisteredFiles,1761192269551000000,1761192329574000000,544
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761192269551000000,1761192329574000000,0
StorageLockContext.competingThreads.avg,1761192269551000000,1761192329574000000,0.0
FilePageCache.totalPageLoadsUs,1761192269551000000,1761192329574000000,234660
StreamlinedBlobStorage.recordsDeleted,1761192269551000000,1761192329574000000,4
FilePageCacheLockFree.totalPagesHandedOver,1761192269551000000,1761192329574000000,0
FilePageCache.capacityInBytes,1761192269551000000,1761192329574000000,503316478
DirectByteBufferAllocator.misses,1761192269551000000,1761192329574000000,209
FilePageCache.uncachedFileAccess,1761192269551000000,1761192329574000000,126
FilePageCache.pageLoads,1761192269551000000,1761192329574000000,212
FilePageCacheLockFree.heapBytesInUse,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalPagesWritten,1761192269551000000,1761192329574000000,0
StreamlinedBlobStorage.recordsAllocated,1761192269551000000,1761192329574000000,37527
FilePageCacheLockFree.totalBytesRead,1761192269551000000,1761192329574000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761192269551000000,1761192329574000000,217071616
FilePageCacheLockFree.totalPageAllocationsWaited,1761192269551000000,1761192329574000000,0
MappedFileStorage.totalPagesMapped,1761192269551000000,1761192329574000000,15
MappedFileStorage.totalBytesMapped,1761192269551000000,1761192329574000000,198443008
MappedFileStorage.totalTimeSpentOnMappingUs,1761192269551000000,1761192329574000000,7073
FilePageCacheLockFree.totalPagesRequestsMs,1761192269551000000,1761192329574000000,0
DirectByteBufferAllocator.reclaimed,1761192269551000000,1761192329574000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1761192269551000000,1761192329574000000,0
FilePageCache.pageHits,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalPagesReadMs,1761192269551000000,1761192329574000000,0
FilePageCache.maxCacheSizeInBytes,1761192269551000000,1761192329574000000,217071616
DirectByteBufferAllocator.hits,1761192269551000000,1761192329574000000,3
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761192269551000000,1761192329574000000,2713075
MappedFileStorage.storages,1761192269551000000,1761192329574000000,15
FilePageCacheLockFree.totalPagesRequested,1761192269551000000,1761192329574000000,0
FilePageCache.disposedBuffers,1761192269551000000,1761192329574000000,3
FilePageCacheLockFree.nativeBytesInUse,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalPagesAllocated,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalBytesWritten,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761192269551000000,1761192329574000000,0
StorageLockContext.competingThreads.90P,1761192269551000000,1761192329574000000,0
StreamlinedBlobStorage.recordsRelocated,1761192269551000000,1761192329574000000,0
DirectByteBufferAllocator.disposed,1761192269551000000,1761192329574000000,0
FilePageCache.pageFastCacheHits,1761192269551000000,1761192329574000000,4207
FilePageCacheLockFree.totalPagesReclaimed,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761192269551000000,1761192329574000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761192269551000000,1761192329574000000,0
FilePageCache.totalPageDisposalsUs,1761192269551000000,1761192329574000000,815
FilePageCacheLockFree.housekeeperTurnsDone,1761192269551000000,1761192329574000000,0
cacheStateStorage.set.counter,1761192269551000000,1761192329574000000,4
cacheStateStorage.get.duration,1761192269551000000,1761192329574000000,152
cacheStateStorage.set.duration,1761192269551000000,1761192329574000000,15
cacheStateStorage.get.counter,1761192269551000000,1761192329574000000,36
writeAction.wait.ms,1761192269551000000,1761192329574000000,37
writeAction.max.wait.ms,1761192269551000000,1761192329574000000,23
writeAction.median.wait.ms,1761192269551000000,1761192329574000000,0
writeAction.count,1761192269551000000,1761192329574000000,14
parser.XML.time.ns,1761192269551000000,1761192329574000000,369138336
lexer.XML.time.ns,1761192269551000000,1761192329574000000,145360831
lexer.XML.size.bytes,1761192269551000000,1761192329574000000,307013
parser.XML.size.bytes,1761192269551000000,1761192329574000000,307013
workspaceModel.mutableEntityStorage.add.entity.ms,1761192269551000000,1761192329574000000,93
workspaceModel.load.cache.from.file.ms,1761192269551000000,1761192329574000000,318
workspaceModel.mutableEntityStorage.entities.ms,1761192269551000000,1761192329574000000,0
workspaceModel.sync.entities.ms,1761192269551000000,1761192329574000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761192269551000000,1761192329574000000,0
jps.project.serializers.load.ms,1761192269551000000,1761192329574000000,38
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761192269551000000,1761192329574000000,618
workspaceModel.mutableEntityStorage.modify.entity.ms,1761192269551000000,1761192329574000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1761192269551000000,1761192329574000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761192269551000000,1761192329574000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761192269551000000,1761192329574000000,2
jps.global.handle.changed.events.ms,1761192269551000000,1761192329574000000,0
workspaceModel.global.apply.state.to.project.ms,1761192269551000000,1761192329574000000,15
jps.load.initial.state.ms,1761192269551000000,1761192329574000000,29
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761192269551000000,1761192329574000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761192269551000000,1761192329574000000,5
workspaceModel.mutableEntityStorage.instances.count,1761192269551000000,1761192329574000000,52
workspaceModel.orphan.listener.update.ms,1761192269551000000,1761192329574000000,2
jps.storage.jps.conf.reader.load.component.ms,1761192269551000000,1761192329574000000,31
workspaceModel.save.cache.to.file.ms,1761192269551000000,1761192329574000000,84
workspaceModel.global.updates.count,1761192269551000000,1761192329574000000,1
jps.project.serializers.save.ms,1761192269551000000,1761192329574000000,2
