# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.global.updates.count,1761192927414000000,1761192987519000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1761192927414000000,1761192987519000000,0
jps.library.entities.serializer.save.entities.ms,1761192927414000000,1761192987519000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761192927414000000,1761192987519000000,6
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761192927414000000,1761192987519000000,2
jps.apply.loaded.storage.ms,1761192927414000000,1761192987519000000,1696
workspaceModel.moduleBridge.update.option.ms,1761192927414000000,1761192987519000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761192927414000000,1761192987519000000,1
jps.save.changed.project.entities.ms,1761192927414000000,1761192987519000000,49
jps.app.storage.content.reader.load.component.ms,1761192927414000000,1761192987519000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1761192927414000000,1761192987519000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761192927414000000,1761192987519000000,0
workspaceModel.global.updates.ms,1761192927414000000,1761192987519000000,5
workspaceModel.sync.entities.ms,1761192927414000000,1761192987519000000,0
jps.artifact.entities.serializer.load.entities.ms,1761192927414000000,1761192987519000000,2
workspaceModel.global.apply.state.to.project.ms,1761192927414000000,1761192987519000000,15
jps.global.get.library.by.name.ms,1761192927414000000,1761192987519000000,0
jps.global.handle.changed.events.ms,1761192927414000000,1761192987519000000,0
jps.global.get.library.ms,1761192927414000000,1761192987519000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761192927414000000,1761192987519000000,10
jps.load.project.to.empty.storage.ms,1761192927414000000,1761192987519000000,57
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1761192927414000000,1761192987519000000,0
workspaceModel.save.cache.to.file.ms,1761192927414000000,1761192987519000000,92
jps.storage.jps.conf.reader.load.component.ms,1761192927414000000,1761192987519000000,19
workspaceModel.do.save.caches.ms,1761192927414000000,1761192987519000000,111
workspaceModel.delayed.project.synchronizer.sync.ms,1761192927414000000,1761192987519000000,1758
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1761192927414000000,1761192987519000000,9
workspaceModel.moduleManagerBridge.newModule.ms,1761192927414000000,1761192987519000000,0
workspaceModel.load.cache.from.file.ms,1761192927414000000,1761192987519000000,361
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1761192927414000000,1761192987519000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761192927414000000,1761192987519000000,0
jps.module.iml.entities.serializer.load.entities.ms,1761192927414000000,1761192987519000000,60
jps.facet.change.listener.init.bridge.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761192927414000000,1761192987519000000,0
jps.global.get.libraries.ms,1761192927414000000,1761192987519000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761192927414000000,1761192987519000000,139
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761192927414000000,1761192987519000000,1
jps.load.initial.state.ms,1761192927414000000,1761192987519000000,72
jps.artifact.entities.serializer.save.entities.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761192927414000000,1761192987519000000,4
jps.module.iml.entities.serializer.save.entities.ms,1761192927414000000,1761192987519000000,37
workspaceModel.moduleBridge.before.changed.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1761192927414000000,1761192987519000000,25
workspaceModel.mutableEntityStorage.collect.changes.ms,1761192927414000000,1761192987519000000,1
jps.library.entities.serializer.load.entities.ms,1761192927414000000,1761192987519000000,10
workspaceModel.orphan.listener.update.ms,1761192927414000000,1761192987519000000,4
workspaceModel.moduleBridge.facet.initialization.ms,1761192927414000000,1761192987519000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761192927414000000,1761192987519000000,107
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761192927414000000,1761192987519000000,2
jps.project.serializers.load.ms,1761192927414000000,1761192987519000000,24
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761192927414000000,1761192987519000000,0
jps.facet.change.listener.before.change.events.ms,1761192927414000000,1761192987519000000,0
jps.save.global.entities.ms,1761192927414000000,1761192987519000000,74
jps.global.initialize.library.bridges.after.loading.ms,1761192927414000000,1761192987519000000,12
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761192927414000000,1761192987519000000,24
workspaceModel.mutableEntityStorage.instances.count,1761192927414000000,1761192987519000000,56
jps.reload.project.entities.ms,1761192927414000000,1761192987519000000,0
jps.facet.change.listener.process.change.events.ms,1761192927414000000,1761192987519000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761192927414000000,1761192987519000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761192927414000000,1761192987519000000,680
jps.app.storage.content.writer.save.component.ms,1761192927414000000,1761192987519000000,31
jps.project.serializers.save.ms,1761192927414000000,1761192987519000000,47
jps.global.initialize.library.bridges.ms,1761192927414000000,1761192987519000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1761192927414000000,1761192987519000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1761192927414000000,1761192987519000000,2
jps.global.handle.before.change.events.ms,1761192927414000000,1761192987519000000,0
writeAction.median.wait.ms,1761192927414000000,1761192987519000000,0
lexer.XML.size.bytes,1761192927414000000,1761192987519000000,263061
writeAction.max.wait.ms,1761192927414000000,1761192987519000000,13
writeAction.wait.ms,1761192927414000000,1761192987519000000,17
parser.XML.size.bytes,1761192927414000000,1761192987519000000,263061
writeAction.count,1761192927414000000,1761192987519000000,28
parser.XML.time.ns,1761192927414000000,1761192987519000000,221219792
lexer.XML.time.ns,1761192927414000000,1761192987519000000,100905294
Indexes.stubs.lookupDuration90PMs,1761192927414000000,1761192987519000000,0.0
Indexes.entries.lookupDuration90PMs,1761192927414000000,1761192987519000000,0.0
IndexesFlusher.totalFlushesRetried,1761192927414000000,1761192987519000000,0
Indexes.allKeys.lookupDurationAvgMs,1761192927414000000,1761192987519000000,0.0
Indexes.entries.lookups,1761192927414000000,1761192987519000000,15
IndexesFlusher.totalFlushes,1761192927414000000,1761192987519000000,58
Indexes.entries.lookupDurationMaxMs,1761192927414000000,1761192987519000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1761192927414000000,1761192987519000000,0
IndexesFlusher.totalFlushingTimeUs,1761192927414000000,1761192987519000000,383978
Indexes.stubs.lookups,1761192927414000000,1761192987519000000,39
Indexes.stubs.lookupDurationAvgMs,1761192927414000000,1761192987519000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1761192927414000000,1761192987519000000,0.0
Indexes.allKeys.lookups,1761192927414000000,1761192987519000000,0
Indexes.stubs.lookupDurationMaxMs,1761192927414000000,1761192987519000000,0.0
Indexes.entries.lookupDurationAvgMs,1761192927414000000,1761192987519000000,0.0
Indexes.allKeys.lookupDuration90PMs,1761192927414000000,1761192987519000000,0.0
JVM.usedHeapBytes,1761192927414000000,1761192987519000000,431984768
OS.loadAverage,1761192927414000000,1761192987519000000,5.6611328125
JVM.GC.collectionTimesMs,1761192927414000000,1761192987519000000,439
