# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.maxHeapBytes,1761192692164000000,1761192752184000000,2147483648
JVM.totalBytesAllocated,1761192692164000000,1761192752184000000,2383558544
JVM.threadCount,1761192692164000000,1761192752184000000,132
JVM.totalDirectByteBuffersBytes,1761192692164000000,1761192752184000000,242421393
JVM.totalTimeAtSafepointsMs,1761192692164000000,1761192752184000000,406
JVM.totalSafepointCount,1761192692164000000,1761192752184000000,368
JVM.maxThreadCount,1761192692164000000,1761192752184000000,132
FilePageCacheLockFree.nativeBytesInUse,1761192692164000000,1761192752184000000,0
StorageLockContext.competingThreads.90P,1761192692164000000,1761192752184000000,0
StreamlinedBlobStorage.recordsDeleted,1761192692164000000,1761192752184000000,4
FilePageCacheLockFree.totalNativeBytesAllocated,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761192692164000000,1761192752184000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761192692164000000,1761192752184000000,238043136
FilePageCacheLockFree.totalHeapBytesReclaimed,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalPagesWritten,1761192692164000000,1761192752184000000,0
StorageLockContext.competingThreads.avg,1761192692164000000,1761192752184000000,0.0
MappedFileStorage.totalTimeSpentOnMappingUs,1761192692164000000,1761192752184000000,13067
StorageLockContext.competingThreads.max,1761192692164000000,1761192752184000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761192692164000000,1761192752184000000,0
FilePageCache.maxRegisteredFiles,1761192692164000000,1761192752184000000,544
DirectByteBufferAllocator.misses,1761192692164000000,1761192752184000000,229
FilePageCacheLockFree.totalBytesRead,1761192692164000000,1761192752184000000,0
DirectByteBufferAllocator.reclaimed,1761192692164000000,1761192752184000000,3
FilePageCacheLockFree.totalPagesRequested,1761192692164000000,1761192752184000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761192692164000000,1761192752184000000,2714555
FilePageCache.capacityInBytes,1761192692164000000,1761192752184000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761192692164000000,1761192752184000000,0
FilePageCache.maxCacheSizeInBytes,1761192692164000000,1761192752184000000,238043136
DirectByteBufferAllocator.disposed,1761192692164000000,1761192752184000000,0
FilePageCache.uncachedFileAccess,1761192692164000000,1761192752184000000,138
FilePageCacheLockFree.housekeeperTurnsDone,1761192692164000000,1761192752184000000,0
FilePageCache.disposedBuffers,1761192692164000000,1761192752184000000,3
MappedFileStorage.storages,1761192692164000000,1761192752184000000,15
StreamlinedBlobStorage.recordsAllocated,1761192692164000000,1761192752184000000,37547
FileChannelInterruptsRetryer.totalRetriedAttempts,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1761192692164000000,1761192752184000000,0
MappedFileStorage.totalBytesMapped,1761192692164000000,1761192752184000000,198443008
FilePageCache.totalPageLoadsUs,1761192692164000000,1761192752184000000,205114
FilePageCacheLockFree.totalBytesWritten,1761192692164000000,1761192752184000000,0
FilePageCache.totalPageDisposalsUs,1761192692164000000,1761192752184000000,748
FilePageCache.pageFastCacheHits,1761192692164000000,1761192752184000000,4781
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761192692164000000,1761192752184000000,549540
FilePageCacheLockFree.heapBytesInUse,1761192692164000000,1761192752184000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalPagesReadMs,1761192692164000000,1761192752184000000,0
DirectByteBufferAllocator.hits,1761192692164000000,1761192752184000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1761192692164000000,1761192752184000000,0
MappedFileStorage.totalPagesMapped,1761192692164000000,1761192752184000000,15
FilePageCacheLockFree.totalPagesRequestsMs,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalPagesAllocated,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalBytesRequested,1761192692164000000,1761192752184000000,0
FilePageCache.pageLoads,1761192692164000000,1761192752184000000,232
FilePageCache.pageHits,1761192692164000000,1761192752184000000,9
StreamlinedBlobStorage.recordsRelocated,1761192692164000000,1761192752184000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761192692164000000,1761192752184000000,0
VFS.fileByIdCache.hits,1761192692164000000,1761192752184000000,0
VFS.contentStorage.recordsStored,1761192692164000000,1761192752184000000,3
FileNameCache.queries,1761192692164000000,1761192752184000000,625920
VFS.contentStorage.recordsDecompressionTimeUs,1761192692164000000,1761192752184000000,6996
VFS.contentStorage.recordsReadSize,1761192692164000000,1761192752184000000,513554
VFS.contentStorage.recordsReadDecompressed,1761192692164000000,1761192752184000000,11
VFS.fileByIdCache.misses,1761192692164000000,1761192752184000000,159
VFS.contentStorage.recordsRead,1761192692164000000,1761192752184000000,51
VFS.contentStorage.recordsStoredCompressed,1761192692164000000,1761192752184000000,1
VFS.contentStorage.recordsUncompressedSize,1761192692164000000,1761192752184000000,26148
FileNameCache.totalMisses,1761192692164000000,1761192752184000000,43200
VFS.fileChildByName,1761192692164000000,1761192752184000000,31224
VFS.contentStorage.recordsDeduplicated,1761192692164000000,1761192752184000000,2
VFS.invertedFileNameIndex.requests,1761192692164000000,1761192752184000000,0
VFS.contentStorage.recordsStoredSize,1761192692164000000,1761192752184000000,6732
workspaceModel.mutableEntityStorage.remove.entity.ms,1761192692164000000,1761192752184000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761192692164000000,1761192752184000000,0
jps.facet.change.listener.before.change.events.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1761192692164000000,1761192752184000000,0
jps.global.get.library.by.name.ms,1761192692164000000,1761192752184000000,0
jps.project.serializers.save.ms,1761192692164000000,1761192752184000000,23
workspaceModel.mutableEntityStorage.resolve.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761192692164000000,1761192752184000000,27
jps.global.get.libraries.ms,1761192692164000000,1761192752184000000,0
jps.global.handle.before.change.events.ms,1761192692164000000,1761192752184000000,0
jps.module.iml.entities.serializer.load.entities.ms,1761192692164000000,1761192752184000000,106
jps.artifact.entities.serializer.save.entities.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1761192692164000000,1761192752184000000,0
workspaceModel.do.save.caches.ms,1761192692164000000,1761192752184000000,85
workspaceModel.mutableEntityStorage.modify.entity.ms,1761192692164000000,1761192752184000000,9
jps.project.serializers.load.ms,1761192692164000000,1761192752184000000,39
jps.library.entities.serializer.load.entities.ms,1761192692164000000,1761192752184000000,18
jps.global.initialize.library.bridges.ms,1761192692164000000,1761192752184000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761192692164000000,1761192752184000000,0
jps.save.global.entities.ms,1761192692164000000,1761192752184000000,31
jps.app.storage.content.writer.save.component.ms,1761192692164000000,1761192752184000000,18
jps.save.changed.project.entities.ms,1761192692164000000,1761192752184000000,24
workspaceModel.mutableEntityStorage.put.entity.ms,1761192692164000000,1761192752184000000,5
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761192692164000000,1761192752184000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1761192692164000000,1761192752184000000,3
jps.load.initial.state.ms,1761192692164000000,1761192752184000000,11
workspaceModel.sync.entities.ms,1761192692164000000,1761192752184000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761192692164000000,1761192752184000000,20
jps.storage.jps.conf.reader.load.component.ms,1761192692164000000,1761192752184000000,27
jps.global.handle.changed.events.ms,1761192692164000000,1761192752184000000,1
workspaceModel.global.updates.count,1761192692164000000,1761192752184000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1761192692164000000,1761192752184000000,2
jps.artifact.entities.serializer.load.entities.ms,1761192692164000000,1761192752184000000,3
workspaceModel.save.cache.to.file.ms,1761192692164000000,1761192752184000000,88
workspaceModel.orphan.listener.update.ms,1761192692164000000,1761192752184000000,2
workspaceModel.global.apply.state.to.project.ms,1761192692164000000,1761192752184000000,14
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761192692164000000,1761192752184000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1761192692164000000,1761192752184000000,46
workspaceModel.moduleManagerBridge.load.module.ms,1761192692164000000,1761192752184000000,0
workspaceModel.load.cache.from.file.ms,1761192692164000000,1761192752184000000,185
workspaceModel.global.updates.ms,1761192692164000000,1761192752184000000,8
workspaceModel.delayed.project.synchronizer.sync.ms,1761192692164000000,1761192752184000000,105
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761192692164000000,1761192752184000000,355
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1761192692164000000,1761192752184000000,1
jps.global.initialize.library.bridges.after.loading.ms,1761192692164000000,1761192752184000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1761192692164000000,1761192752184000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761192692164000000,1761192752184000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761192692164000000,1761192752184000000,0
jps.library.entities.serializer.save.entities.ms,1761192692164000000,1761192752184000000,1
jps.load.project.to.empty.storage.ms,1761192692164000000,1761192752184000000,79
workspaceModel.moduleBridge.facet.initialization.ms,1761192692164000000,1761192752184000000,0
workspaceModel.moduleBridge.before.changed.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.instances.count,1761192692164000000,1761192752184000000,56
workspaceModel.mutableEntityStorage.referrers.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761192692164000000,1761192752184000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761192692164000000,1761192752184000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761192692164000000,1761192752184000000,96
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1761192692164000000,1761192752184000000,0
jps.reload.project.entities.ms,1761192692164000000,1761192752184000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761192692164000000,1761192752184000000,1
jps.module.iml.entities.serializer.save.entities.ms,1761192692164000000,1761192752184000000,20
workspaceModel.moduleBridge.update.option.ms,1761192692164000000,1761192752184000000,0
jps.facet.change.listener.process.change.events.ms,1761192692164000000,1761192752184000000,0
jps.facet.change.listener.init.bridge.ms,1761192692164000000,1761192752184000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761192692164000000,1761192752184000000,2
jps.global.get.library.ms,1761192692164000000,1761192752184000000,0
jps.apply.loaded.storage.ms,1761192692164000000,1761192752184000000,22
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1761192692164000000,1761192752184000000,12
jps.app.storage.content.reader.load.component.ms,1761192692164000000,1761192752184000000,2
AWTEventQueue.eventsDispatched,1761192692164000000,1761192752184000000,14687
FlushQueue.tasksExecuted,1761192692164000000,1761192752184000000,9217
FlushQueue.waitingTimeMaxNs,1761192692164000000,1761192752184000000,427819007
FlushQueue.waitingTimeAvgNs,1761192692164000000,1761192752184000000,1.4731648272973852E7
NonBlockingReadAction.failedExecutionsCount,1761192692164000000,1761192752184000000,10
AWTEventQueue.dispatchTime90PNs,1761192692164000000,1761192752184000000,1335295
FlushQueue.queueSizeAvg,1761192692164000000,1761192752184000000,13.93935119887165
FlushQueue.executionTime90PNs,1761192692164000000,1761192752184000000,266239
FlushQueue.executionTimeAvgNs,1761192692164000000,1761192752184000000,387199.96821091464
FlushQueue.executionTimeMaxNs,1761192692164000000,1761192752184000000,291504127
FlushQueue.waitingTime90PNs,1761192692164000000,1761192752184000000,32243711
ReadAction.executionsCount,1761192692164000000,1761192752184000000,477357
AWTEventQueue.dispatchTimeMaxNs,1761192692164000000,1761192752184000000,293601279
NonBlockingReadAction.finalizedExecutionsCount,1761192692164000000,1761192752184000000,759
NonBlockingReadAction.finalizedExecutionTimeUs,1761192692164000000,1761192752184000000,772004
NonBlockingReadAction.failedExecutionTimeUs,1761192692164000000,1761192752184000000,4429
FlushQueue.queueSizeMax,1761192692164000000,1761192752184000000,132
AWTEventQueue.dispatchTimeTotalNS,1761192692164000000,1761192752184000000,11412822406
FlushQueue.queueSize90P,1761192692164000000,1761192752184000000,56
AWTEventQueue.dispatchTimeAvgNs,1761192692164000000,1761192752184000000,777079.9991829509
WriteAction.executionsCount,1761192692164000000,1761192752184000000,39
cacheStateStorage.get.counter,1761192692164000000,1761192752184000000,59
cacheStateStorage.set.duration,1761192692164000000,1761192752184000000,40
cacheStateStorage.get.duration,1761192692164000000,1761192752184000000,170
cacheStateStorage.set.counter,1761192692164000000,1761192752184000000,36
parser.XML.time.ns,1761192752184000000,1761192781765000000,325000
lexer.DTD.time.ns,1761192752184000000,1761192781765000000,294750
writeAction.median.wait.ms,1761192752184000000,1761192781765000000,0
writeAction.count,1761192752184000000,1761192781765000000,5
parser.DTD.size.bytes,1761192752184000000,1761192781765000000,594
lexer.DTD.size.bytes,1761192752184000000,1761192781765000000,594
parser.XML.size.bytes,1761192752184000000,1761192781765000000,1724
lexer.XML.time.ns,1761192752184000000,1761192781765000000,49500
writeAction.max.wait.ms,1761192752184000000,1761192781765000000,1
writeAction.wait.ms,1761192752184000000,1761192781765000000,0
lexer.XML.size.bytes,1761192752184000000,1761192781765000000,1724
parser.DTD.time.ns,1761192752184000000,1761192781765000000,409583
workspaceModel.cachedValue.clear.count,1761192752184000000,1761192781765000000,0
workspaceModel.update.unloaded.entities.ms,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1761192752184000000,1761192781765000000,0
workspaceModel.updates.count,1761192752184000000,1761192781765000000,0
workspaceModel.cachedValue.total.get.count,1761192752184000000,1761192781765000000,42
workspaceModel.updates.ms,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1761192752184000000,1761192781765000000,0
workspaceModel.initializing.ms,1761192752184000000,1761192781765000000,0
workspaceModel.cachedValue.calculated.count,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.instances.count,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.init.ms,1761192752184000000,1761192781765000000,0
workspaceModel.loading.total.ms,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1761192752184000000,1761192781765000000,5
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1761192752184000000,1761192781765000000,0
workspaceModel.collect.changes.ms,1761192752184000000,1761192781765000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1761192752184000000,1761192781765000000,0
workspaceModel.on.changed.ms,1761192752184000000,1761192781765000000,0
workspaceModel.init.bridges.ms,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1761192752184000000,1761192781765000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1761192752184000000,1761192781765000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1761192752184000000,1761192781765000000,0
workspaceModel.check.recursive.update.ms,1761192752184000000,1761192781765000000,0
workspaceModel.cachedValue.from.cache.count,1761192752184000000,1761192781765000000,42
workspaceModel.updates.precise.ms,1761192752184000000,1761192781765000000,0
workspaceModel.on.before.changed.ms,1761192752184000000,1761192781765000000,0
workspaceModel.pre.handlers.ms,1761192752184000000,1761192781765000000,0
workspaceModel.to.snapshot.ms,1761192752184000000,1761192781765000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761192752184000000,1761192781765000000,0
workspaceModel.loading.from.cache.ms,1761192752184000000,1761192781765000000,0
workspaceModel.cachedValueWithParameters.clear.count,1761192752184000000,1761192781765000000,0
workspaceModel.full.replace.project.model.ms,1761192752184000000,1761192781765000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1761192752184000000,1761192781765000000,5
workspaceModel.replace.project.model.ms,1761192752184000000,1761192781765000000,0
Indexes.allKeys.lookupDurationMaxMs,1761192752184000000,1761192781765000000,0.0
Indexes.stubs.lookupDuration90PMs,1761192752184000000,1761192781765000000,6.0
Indexes.stubs.lookups,1761192752184000000,1761192781765000000,9
Indexes.allKeys.lookupDurationAvgMs,1761192752184000000,1761192781765000000,0.0
Indexes.stubs.lookupDurationMaxMs,1761192752184000000,1761192781765000000,6.0
