# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTime90PNs,1761192607318000000,1761192667426000000,155647
FlushQueue.queueSizeAvg,1761192607318000000,1761192667426000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1761192607318000000,1761192667426000000,155136.0
AWTEventQueue.dispatchTimeMaxNs,1761192607318000000,1761192667426000000,155647
FlushQueue.queueSizeMax,1761192607318000000,1761192667426000000,0
FlushQueue.executionTimeAvgNs,1761192607318000000,1761192667426000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1761192607318000000,1761192667426000000,584
FlushQueue.waitingTimeAvgNs,1761192607318000000,1761192667426000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1761192607318000000,1761192667426000000,11167500228
NonBlockingReadAction.failedExecutionTimeUs,1761192607318000000,1761192667426000000,8774
ReadAction.executionsCount,1761192607318000000,1761192667426000000,494033
FlushQueue.executionTimeMaxNs,1761192607318000000,1761192667426000000,0
FlushQueue.executionTime90PNs,1761192607318000000,1761192667426000000,0
AWTEventQueue.eventsDispatched,1761192607318000000,1761192667426000000,1
FlushQueue.tasksExecuted,1761192607318000000,1761192667426000000,0
FlushQueue.waitingTime90PNs,1761192607318000000,1761192667426000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1761192607318000000,1761192667426000000,1338673
WriteAction.executionsCount,1761192607318000000,1761192667426000000,21
NonBlockingReadAction.failedExecutionsCount,1761192607318000000,1761192667426000000,23
FlushQueue.queueSize90P,1761192607318000000,1761192667426000000,0
FlushQueue.waitingTimeMaxNs,1761192607318000000,1761192667426000000,0
workspaceModel.cachedValue.calculated.count,1761192607318000000,1761192667426000000,61
workspaceModel.cachedValueWithParameters.total.get.count,1761192607318000000,1761192667426000000,0
workspaceModel.updates.count,1761192607318000000,1761192667426000000,5
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761192607318000000,1761192667426000000,0
workspaceModel.cachedValueWithParameters.clear.count,1761192607318000000,1761192667426000000,0
