# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1761193040552000000,1761193100567000000,0
VFS.contentStorage.recordsStoredCompressed,1761193040552000000,1761193100567000000,0
VFS.fileByIdCache.hits,1761193040552000000,1761193100567000000,0
VFS.contentStorage.recordsReadDecompressed,1761193040552000000,1761193100567000000,11
FileNameCache.totalMisses,1761193040552000000,1761193100567000000,59776
VFS.fileChildByName,1761193040552000000,1761193100567000000,10661
VFS.contentStorage.recordsDecompressionTimeUs,1761193040552000000,1761193100567000000,9371
VFS.contentStorage.recordsDeduplicated,1761193040552000000,1761193100567000000,0
VFS.contentStorage.recordsRead,1761193040552000000,1761193100567000000,37
FileNameCache.queries,1761193040552000000,1761193100567000000,983424
VFS.fileByIdCache.misses,1761193040552000000,1761193100567000000,90
VFS.contentStorage.recordsStoredSize,1761193040552000000,1761193100567000000,0
VFS.contentStorage.recordsUncompressedSize,1761193040552000000,1761193100567000000,0
VFS.contentStorage.recordsStored,1761193040552000000,1761193100567000000,0
VFS.contentStorage.recordsReadSize,1761193040552000000,1761193100567000000,448289
cacheStateStorage.get.duration,1761193040552000000,1761193100567000000,450
cacheStateStorage.set.counter,1761193040552000000,1761193100567000000,4
cacheStateStorage.set.duration,1761193040552000000,1761193100567000000,20
cacheStateStorage.get.counter,1761193040552000000,1761193100567000000,46
writeAction.count,1761193040552000000,1761193100567000000,21
parser.XML.size.bytes,1761193040552000000,1761193100567000000,314931
parser.XML.time.ns,1761193040552000000,1761193100567000000,724021209
writeAction.wait.ms,1761193040552000000,1761193100567000000,13
parser.DTD.time.ns,1761193040552000000,1761193100567000000,1098917
lexer.XML.time.ns,1761193040552000000,1761193100567000000,98735168
writeAction.median.wait.ms,1761193040552000000,1761193100567000000,0
lexer.XML.size.bytes,1761193040552000000,1761193100567000000,314931
parser.DTD.size.bytes,1761193040552000000,1761193100567000000,594
lexer.DTD.time.ns,1761193040552000000,1761193100567000000,339708
lexer.DTD.size.bytes,1761193040552000000,1761193100567000000,594
writeAction.max.wait.ms,1761193040552000000,1761193100567000000,10
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactManagerBridge.commit.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1761193040552000000,1761193100567000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1761193040552000000,1761193100567000000,0
workspaceModel.updates.count,1761193040552000000,1761193100567000000,5
workspaceModel.cachedValueWithParameters.from.cache.count,1761193040552000000,1761193100567000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761193040552000000,1761193100567000000,145
workspaceModel.cachedValue.total.get.count,1761193040552000000,1761193100567000000,663
workspaceModel.full.replace.project.model.ms,1761193040552000000,1761193100567000000,6
workspaceModel.workspaceFileIndexData.markDirty.ms,1761193040552000000,1761193100567000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1761193040552000000,1761193100567000000,26
workspaceModel.workspaceFileIndexData.instances.count,1761193040552000000,1761193100567000000,1
workspaceModel.on.changed.ms,1761193040552000000,1761193100567000000,28
workspaceModel.collect.changes.ms,1761193040552000000,1761193100567000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1761193040552000000,1761193100567000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761193040552000000,1761193100567000000,0
workspaceModel.on.before.changed.ms,1761193040552000000,1761193100567000000,20
workspaceModel.workspaceFileIndexData.getPackageName.ms,1761193040552000000,1761193100567000000,5
workspaceModel.replace.project.model.ms,1761193040552000000,1761193100567000000,21
workspaceModel.cachedValue.clear.count,1761193040552000000,1761193100567000000,5
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761193040552000000,1761193100567000000,0
workspaceModel.updates.precise.ms,1761193040552000000,1761193100567000000,6
workspaceModel.workspaceFileIndexData.processFileSets.ms,1761193040552000000,1761193100567000000,0
workspaceModel.update.unloaded.entities.ms,1761193040552000000,1761193100567000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1761193040552000000,1761193100567000000,23
workspaceModel.check.recursive.update.ms,1761193040552000000,1761193100567000000,1
workspaceModel.init.bridges.ms,1761193040552000000,1761193100567000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1761193040552000000,1761193100567000000,3
workspaceModel.cachedValue.calculated.count,1761193040552000000,1761193100567000000,37
workspaceModel.loading.from.cache.ms,1761193040552000000,1761193100567000000,331
workspaceModel.cachedValue.from.cache.count,1761193040552000000,1761193100567000000,626
workspaceModel.cachedValueWithParameters.clear.count,1761193040552000000,1761193100567000000,0
workspaceModel.loading.total.ms,1761193040552000000,1761193100567000000,338
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1761193040552000000,1761193100567000000,289
workspaceModel.initializing.ms,1761193040552000000,1761193100567000000,1
workspaceModel.pre.handlers.ms,1761193040552000000,1761193100567000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1761193040552000000,1761193100567000000,15
workspaceModel.workspaceFileIndexData.init.ms,1761193040552000000,1761193100567000000,85
workspaceModel.to.snapshot.ms,1761193040552000000,1761193100567000000,1
workspaceModel.updates.ms,1761193040552000000,1761193100567000000,38
Indexes.entries.lookupDuration90PMs,1761193040552000000,1761193100567000000,5.0
IndexesFlusher.totalContentionQuotaSpent,1761193040552000000,1761193100567000000,53
IndexesFlusher.totalFlushesRetried,1761193040552000000,1761193100567000000,2
Indexes.stubs.lookupDurationMaxMs,1761193040552000000,1761193100567000000,46.0
Indexes.stubs.lookupDurationAvgMs,1761193040552000000,1761193100567000000,1.208955223880597
