# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationAvgMs,1761192811748000000,1761192871816000000,0.0
Indexes.entries.lookupDuration90PMs,1761192811748000000,1761192871816000000,0.0
Indexes.allKeys.lookupDuration90PMs,1761192811748000000,1761192871816000000,0.0
Indexes.entries.lookupDurationMaxMs,1761192811748000000,1761192871816000000,0.0
IndexesFlusher.totalFlushes,1761192811748000000,1761192871816000000,58
Indexes.stubs.lookups,1761192811748000000,1761192871816000000,61
Indexes.entries.lookups,1761192811748000000,1761192871816000000,21
Indexes.stubs.lookupDurationMaxMs,1761192811748000000,1761192871816000000,0.0
IndexesFlusher.totalFlushingTimeUs,1761192811748000000,1761192871816000000,349316
Indexes.stubs.lookupDurationAvgMs,1761192811748000000,1761192871816000000,0.0
Indexes.stubs.lookupDuration90PMs,1761192811748000000,1761192871816000000,0.0
IndexesFlusher.totalFlushesRetried,1761192811748000000,1761192871816000000,0
Indexes.allKeys.lookupDurationMaxMs,1761192811748000000,1761192871816000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1761192811748000000,1761192871816000000,0
Indexes.allKeys.lookupDurationAvgMs,1761192811748000000,1761192871816000000,0.0
Indexes.allKeys.lookups,1761192811748000000,1761192871816000000,0
AWTEventQueue.dispatchTimeMaxNs,1761192811748000000,1761192871816000000,0
FlushQueue.waitingTime90PNs,1761192811748000000,1761192871816000000,0
FlushQueue.queueSizeMax,1761192811748000000,1761192871816000000,0
FlushQueue.executionTimeMaxNs,1761192811748000000,1761192871816000000,0
ReadAction.executionsCount,1761192811748000000,1761192871816000000,197072
FlushQueue.waitingTimeMaxNs,1761192811748000000,1761192871816000000,0
AWTEventQueue.dispatchTime90PNs,1761192811748000000,1761192871816000000,0
FlushQueue.tasksExecuted,1761192811748000000,1761192871816000000,0
NonBlockingReadAction.failedExecutionsCount,1761192811748000000,1761192871816000000,2
NonBlockingReadAction.finalizedExecutionsCount,1761192811748000000,1761192871816000000,448
FlushQueue.executionTime90PNs,1761192811748000000,1761192871816000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1761192811748000000,1761192871816000000,1332995
AWTEventQueue.dispatchTimeAvgNs,1761192811748000000,1761192871816000000,0.0
FlushQueue.executionTimeAvgNs,1761192811748000000,1761192871816000000,0.0
FlushQueue.waitingTimeAvgNs,1761192811748000000,1761192871816000000,0.0
AWTEventQueue.eventsDispatched,1761192811748000000,1761192871816000000,0
NonBlockingReadAction.failedExecutionTimeUs,1761192811748000000,1761192871816000000,5821
