# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridge.before.changed.ms,1761190529700000000,1761190589862000000,0
workspaceModel.global.updates.ms,1761190529700000000,1761190589862000000,10
jps.module.iml.entities.serializer.save.entities.ms,1761190529700000000,1761190589862000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761190529700000000,1761190589862000000,0
jps.artifact.entities.serializer.save.entities.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.entities.ms,1761190529700000000,1761190589862000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1761190529700000000,1761190589862000000,0
jps.load.initial.state.ms,1761190529700000000,1761190589862000000,20
workspaceModel.mutableEntityStorage.referrers.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1761190529700000000,1761190589862000000,9
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761190529700000000,1761190589862000000,2
jps.reload.project.entities.ms,1761190529700000000,1761190589862000000,0
jps.apply.loaded.storage.ms,1761190529700000000,1761190589862000000,119
workspaceModel.moduleManagerBridge.load.all.modules.ms,1761190529700000000,1761190589862000000,98
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761190529700000000,1761190589862000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1761190529700000000,1761190589862000000,4
workspaceModel.do.save.caches.ms,1761190529700000000,1761190589862000000,194
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1761190529700000000,1761190589862000000,0
jps.global.get.library.ms,1761190529700000000,1761190589862000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1761190529700000000,1761190589862000000,13
workspaceModel.moduleManagerBridge.load.module.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761190529700000000,1761190589862000000,6
jps.facet.change.listener.process.change.events.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1761190529700000000,1761190589862000000,0
workspaceModel.load.cache.metadata.from.file.ms,1761190529700000000,1761190589862000000,28
workspaceModel.save.cache.to.file.ms,1761190529700000000,1761190589862000000,194
jps.global.get.library.by.name.ms,1761190529700000000,1761190589862000000,0
jps.library.entities.serializer.save.entities.ms,1761190529700000000,1761190589862000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1761190529700000000,1761190589862000000,2
workspaceModel.moduleManagerBridge.build.module.graph.ms,1761190529700000000,1761190589862000000,0
jps.global.handle.changed.events.ms,1761190529700000000,1761190589862000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761190529700000000,1761190589862000000,540
jps.project.serializers.save.ms,1761190529700000000,1761190589862000000,2
jps.global.initialize.library.bridges.after.loading.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1761190529700000000,1761190589862000000,20
jps.load.project.to.empty.storage.ms,1761190529700000000,1761190589862000000,138
workspaceModel.load.cache.from.file.ms,1761190529700000000,1761190589862000000,269
jps.global.handle.before.change.events.ms,1761190529700000000,1761190589862000000,0
jps.storage.jps.conf.reader.load.component.ms,1761190529700000000,1761190589862000000,83
jps.app.storage.content.writer.save.component.ms,1761190529700000000,1761190589862000000,16
workspaceModel.sync.entities.ms,1761190529700000000,1761190589862000000,0
jps.save.global.entities.ms,1761190529700000000,1761190589862000000,33
workspaceModel.mutableEntityStorage.resolve.ms,1761190529700000000,1761190589862000000,0
jps.library.entities.serializer.load.entities.ms,1761190529700000000,1761190589862000000,17
jps.global.initialize.library.bridges.ms,1761190529700000000,1761190589862000000,1
jps.save.changed.project.entities.ms,1761190529700000000,1761190589862000000,2
workspaceModel.delayed.project.synchronizer.sync.ms,1761190529700000000,1761190589862000000,260
workspaceModel.mutableEntityStorage.collect.changes.ms,1761190529700000000,1761190589862000000,1
jps.global.get.libraries.ms,1761190529700000000,1761190589862000000,1
workspaceModel.moduleBridge.update.option.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761190529700000000,1761190589862000000,1
jps.facet.change.listener.init.bridge.ms,1761190529700000000,1761190589862000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.instances.count,1761190529700000000,1761190589862000000,53
jps.facet.change.listener.before.change.events.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1761190529700000000,1761190589862000000,0
workspaceModel.orphan.listener.update.ms,1761190529700000000,1761190589862000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1761190529700000000,1761190589862000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1761190529700000000,1761190589862000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1761190529700000000,1761190589862000000,102
workspaceModel.moduleManagerBridge.create.module.instance.ms,1761190529700000000,1761190589862000000,0
jps.project.serializers.load.ms,1761190529700000000,1761190589862000000,40
jps.app.storage.content.reader.load.component.ms,1761190529700000000,1761190589862000000,3
workspaceModel.global.updates.count,1761190529700000000,1761190589862000000,1
jps.artifact.entities.serializer.load.entities.ms,1761190529700000000,1761190589862000000,5
workspaceModel.global.apply.state.to.project.ms,1761190529700000000,1761190589862000000,15
jps.module.iml.entities.serializer.load.entities.ms,1761190529700000000,1761190589862000000,72
workspaceModel.cachedValue.from.cache.count,1761190529700000000,1761190589862000000,520
workspaceModel.workspaceFileIndexData.init.ms,1761190529700000000,1761190589862000000,116
workspaceModel.workspaceFileIndexData.markDirty.ms,1761190529700000000,1761190589862000000,0
workspaceModel.initializing.ms,1761190529700000000,1761190589862000000,1
workspaceModel.pre.handlers.ms,1761190529700000000,1761190589862000000,1
workspaceModel.check.recursive.update.ms,1761190529700000000,1761190589862000000,1
workspaceModel.updates.count,1761190529700000000,1761190589862000000,5
workspaceModel.workspaceFileIndexData.getPackageName.ms,1761190529700000000,1761190589862000000,0
workspaceModel.loading.from.cache.ms,1761190529700000000,1761190589862000000,263
workspaceModel.cachedValueWithParameters.clear.count,1761190529700000000,1761190589862000000,0
workspaceModel.replace.project.model.ms,1761190529700000000,1761190589862000000,0
workspaceModel.collect.changes.ms,1761190529700000000,1761190589862000000,0
workspaceModel.workspaceFileIndexData.instances.count,1761190529700000000,1761190589862000000,1
workspaceModel.init.bridges.ms,1761190529700000000,1761190589862000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1761190529700000000,1761190589862000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761190529700000000,1761190589862000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1761190529700000000,1761190589862000000,2
workspaceModel.cachedValueWithParameters.from.cache.count,1761190529700000000,1761190589862000000,0
workspaceModel.cachedValue.total.get.count,1761190529700000000,1761190589862000000,580
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1761190529700000000,1761190589862000000,0
workspaceModel.cachedValue.clear.count,1761190529700000000,1761190589862000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761190529700000000,1761190589862000000,0
workspaceModel.full.replace.project.model.ms,1761190529700000000,1761190589862000000,4
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761190529700000000,1761190589862000000,204
workspaceModel.on.changed.ms,1761190529700000000,1761190589862000000,15
workspaceModel.on.before.changed.ms,1761190529700000000,1761190589862000000,29
workspaceModel.loading.total.ms,1761190529700000000,1761190589862000000,276
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1761190529700000000,1761190589862000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1761190529700000000,1761190589862000000,22
workspaceModel.updates.precise.ms,1761190529700000000,1761190589862000000,10
workspaceModel.to.snapshot.ms,1761190529700000000,1761190589862000000,0
workspaceModel.cachedValue.calculated.count,1761190529700000000,1761190589862000000,60
workspaceModel.update.unloaded.entities.ms,1761190529700000000,1761190589862000000,0
workspaceModel.updates.ms,1761190529700000000,1761190589862000000,56
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1761190529700000000,1761190589862000000,164
workspaceModel.workspaceFileIndexData.processFileSets.ms,1761190529700000000,1761190589862000000,0
FilePageCache.uncachedFileAccess,1761190529700000000,1761190589862000000,122
FilePageCacheLockFree.totalPagesAllocated,1761190529700000000,1761190589862000000,0
FilePageCache.disposedBuffers,1761190529700000000,1761190589862000000,3
MappedFileStorage.storages,1761190529700000000,1761190589862000000,13
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761190529700000000,1761190589862000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1761190529700000000,1761190589862000000,0
MappedFileStorage.totalPagesMapped,1761190529700000000,1761190589862000000,13
DirectByteBufferAllocator.misses,1761190529700000000,1761190589862000000,201
FilePageCacheLockFree.housekeeperTurnsSkipped,1761190529700000000,1761190589862000000,0
DirectByteBufferAllocator.reclaimed,1761190529700000000,1761190589862000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761190529700000000,1761190589862000000,522715
FilePageCache.totalPageLoadsUs,1761190529700000000,1761190589862000000,680129
FilePageCacheLockFree.totalHeapBytesReclaimed,1761190529700000000,1761190589862000000,0
DirectByteBufferAllocator.disposed,1761190529700000000,1761190589862000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761190529700000000,1761190589862000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761190529700000000,1761190589862000000,208683008
FilePageCacheLockFree.totalNativeBytesAllocated,1761190529700000000,1761190589862000000,0
StorageLockContext.competingThreads.max,1761190529700000000,1761190589862000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761190529700000000,1761190589862000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761190529700000000,1761190589862000000,0
FilePageCache.maxCacheSizeInBytes,1761190529700000000,1761190589862000000,208683008
FilePageCache.pageFastCacheHits,1761190529700000000,1761190589862000000,4102
