# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.max.wait.ms,1761190740196000000,1761190776299000000,11
writeAction.wait.ms,1761190740196000000,1761190776299000000,19
writeAction.median.wait.ms,1761190740196000000,1761190776299000000,0
writeAction.count,1761190740196000000,1761190776299000000,14
DirectByteBufferAllocator.disposed,1761190740196000000,1761190776299000000,158
StorageLockContext.competingThreads.avg,1761190740196000000,1761190776299000000,0.0
MappedFileStorage.totalPagesMapped,1761190740196000000,1761190776299000000,0
FilePageCache.capacityInBytes,1761190740196000000,1761190776299000000,503316478
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.nativeBytesInUse,1761190740196000000,1761190776299000000,0
MappedFileStorage.storages,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761190740196000000,1761190776299000000,0
FilePageCache.disposedBuffers,1761190740196000000,1761190776299000000,203
FilePageCache.totalPageDisposalsUs,1761190740196000000,1761190776299000000,5038
FilePageCache.pageFastCacheHits,1761190740196000000,1761190776299000000,4082
FilePageCacheLockFree.totalPagesReclaimed,1761190740196000000,1761190776299000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761190740196000000,1761190776299000000,13329
MappedFileStorage.totalBytesMapped,1761190740196000000,1761190776299000000,0
DirectByteBufferAllocator.reclaimed,1761190740196000000,1761190776299000000,45
FilePageCacheLockFree.totalHeapBytesAllocated,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761190740196000000,1761190776299000000,0
FilePageCache.maxCacheSizeInBytes,1761190740196000000,1761190776299000000,208683008
DirectByteBufferAllocator.hits,1761190740196000000,1761190776299000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761190740196000000,1761190776299000000,41959424
FilePageCacheLockFree.housekeeperTurnsSkipped,1761190740196000000,1761190776299000000,0
FilePageCache.uncachedFileAccess,1761190740196000000,1761190776299000000,120
FilePageCache.pageLoads,1761190740196000000,1761190776299000000,204
FilePageCacheLockFree.totalBytesWritten,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.totalPagesWritten,1761190740196000000,1761190776299000000,0
DirectByteBufferAllocator.misses,1761190740196000000,1761190776299000000,201
FilePageCacheLockFree.totalPagesRequested,1761190740196000000,1761190776299000000,0
FilePageCacheLockFree.totalPagesAllocated,1761190740196000000,1761190776299000000,0
