# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1761189810232000000,1761189870456000000,2
cacheStateStorage.get.duration,1761189810232000000,1761189870456000000,0
cacheStateStorage.set.counter,1761189810232000000,1761189870456000000,1
cacheStateStorage.get.counter,1761189810232000000,1761189870456000000,3
writeAction.count,1761189810232000000,1761189870456000000,1
writeAction.median.wait.ms,1761189810232000000,1761189870456000000,0
writeAction.max.wait.ms,1761189810232000000,1761189870456000000,1
writeAction.wait.ms,1761189810232000000,1761189870456000000,1
IndexesFlusher.totalFlushingTimeUs,1761189810232000000,1761189870456000000,464272
IndexesFlusher.totalFlushes,1761189810232000000,1761189870456000000,59
IndexesFlusher.totalContentionQuotaSpent,1761189810232000000,1761189870456000000,68
IndexesFlusher.totalFlushesRetried,1761189810232000000,1761189870456000000,3
VFS.fileChildByName,1761189810232000000,1761189870456000000,8
VFS.contentStorage.recordsUncompressedSize,1761189810232000000,1761189870456000000,0
VFS.fileByIdCache.misses,1761189810232000000,1761189870456000000,0
FileNameCache.totalMisses,1761189810232000000,1761189870456000000,0
VFS.contentStorage.recordsStored,1761189810232000000,1761189870456000000,0
VFS.invertedFileNameIndex.requests,1761189810232000000,1761189870456000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1761189810232000000,1761189870456000000,0
VFS.contentStorage.recordsDeduplicated,1761189810232000000,1761189870456000000,0
VFS.contentStorage.recordsRead,1761189810232000000,1761189870456000000,0
VFS.contentStorage.recordsReadDecompressed,1761189810232000000,1761189870456000000,0
VFS.contentStorage.recordsStoredCompressed,1761189810232000000,1761189870456000000,0
VFS.fileByIdCache.hits,1761189810232000000,1761189870456000000,0
FileNameCache.queries,1761189810232000000,1761189870456000000,2240
VFS.contentStorage.recordsReadSize,1761189810232000000,1761189870456000000,0
VFS.contentStorage.recordsStoredSize,1761189810232000000,1761189870456000000,0
FlushQueue.waitingTime90PNs,1761189810232000000,1761189870456000000,0
WriteAction.executionsCount,1761189810232000000,1761189870456000000,1
FlushQueue.queueSize90P,1761189810232000000,1761189870456000000,0
FlushQueue.waitingTimeMaxNs,1761189810232000000,1761189870456000000,0
FlushQueue.tasksExecuted,1761189810232000000,1761189870456000000,0
AWTEventQueue.dispatchTime90PNs,1761189810232000000,1761189870456000000,0
AWTEventQueue.dispatchTimeAvgNs,1761189810232000000,1761189870456000000,0.0
FlushQueue.executionTimeMaxNs,1761189810232000000,1761189870456000000,0
FlushQueue.executionTimeAvgNs,1761189810232000000,1761189870456000000,0.0
FlushQueue.queueSizeAvg,1761189810232000000,1761189870456000000,0.0
ReadAction.executionsCount,1761189810232000000,1761189870456000000,34
AWTEventQueue.dispatchTimeMaxNs,1761189810232000000,1761189870456000000,0
AWTEventQueue.eventsDispatched,1761189810232000000,1761189870456000000,0
AWTEventQueue.dispatchTimeTotalNS,1761189810232000000,1761189870456000000,1506029750
FlushQueue.queueSizeMax,1761189810232000000,1761189870456000000,0
FlushQueue.executionTime90PNs,1761189810232000000,1761189870456000000,0
FlushQueue.waitingTimeAvgNs,1761189810232000000,1761189870456000000,0.0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761189810232000000,1761189870456000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761189810232000000,1761189870456000000,85
FilePageCache.disposedBuffers,1761189810232000000,1761189870456000000,5
FilePageCacheLockFree.totalBytesRead,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesWritten,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesReadMs,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalBytesWritten,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1761189810232000000,1761189870456000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1761189810232000000,1761189870456000000,0
MappedFileStorage.totalPagesMapped,1761189810232000000,1761189870456000000,6
FilePageCache.totalPageDisposalsUs,1761189810232000000,1761189870456000000,6578
FilePageCacheLockFree.totalHeapBytesReclaimed,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesAllocated,1761189810232000000,1761189870456000000,0
DirectByteBufferAllocator.reclaimed,1761189810232000000,1761189870456000000,5
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761189810232000000,1761189870456000000,840
FilePageCacheLockFree.nativeBytesInUse,1761189810232000000,1761189870456000000,0
FilePageCache.totalPageLoadsUs,1761189810232000000,1761189870456000000,530548
FilePageCacheLockFree.housekeeperTimeSpentMs,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.heapBytesInUse,1761189810232000000,1761189870456000000,0
FilePageCache.uncachedFileAccess,1761189810232000000,1761189870456000000,336
FilePageCacheLockFree.totalHeapBytesAllocated,1761189810232000000,1761189870456000000,0
DirectByteBufferAllocator.misses,1761189810232000000,1761189870456000000,192
FilePageCache.maxRegisteredFiles,1761189810232000000,1761189870456000000,531
FilePageCache.pageLoadsAboveSizeThreshold,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761189810232000000,1761189870456000000,0
DirectByteBufferAllocator.hits,1761189810232000000,1761189870456000000,5
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761189810232000000,1761189870456000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761189810232000000,1761189870456000000,199245824
StorageLockContext.competingThreads.90P,1761189810232000000,1761189870456000000,0
StreamlinedBlobStorage.recordsDeleted,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalBytesRequested,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1761189810232000000,1761189870456000000,0
MappedFileStorage.totalBytesMapped,1761189810232000000,1761189870456000000,164626432
StreamlinedBlobStorage.recordsAllocated,1761189810232000000,1761189870456000000,12
FilePageCache.maxCacheSizeInBytes,1761189810232000000,1761189870456000000,199245824
FilePageCache.pageFastCacheHits,1761189810232000000,1761189870456000000,13412
StreamlinedBlobStorage.recordsRelocated,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761189810232000000,1761189870456000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761189810232000000,1761189870456000000,825944
FilePageCache.pageHits,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761189810232000000,1761189870456000000,0
DirectByteBufferAllocator.disposed,1761189810232000000,1761189870456000000,0
StorageLockContext.competingThreads.max,1761189810232000000,1761189870456000000,0
FilePageCacheLockFree.totalPagesRequested,1761189810232000000,1761189870456000000,0
StorageLockContext.competingThreads.avg,1761189810232000000,1761189870456000000,0.0
MappedFileStorage.storages,1761189810232000000,1761189870456000000,6
FilePageCache.pageLoads,1761189810232000000,1761189870456000000,197
FilePageCache.capacityInBytes,1761189810232000000,1761189870456000000,503316478
cacheStateStorage.set.duration,1761189870456000000,1761189930276000000,0
cacheStateStorage.get.duration,1761189870456000000,1761189930276000000,0
cacheStateStorage.set.counter,1761189870456000000,1761189930276000000,0
cacheStateStorage.get.counter,1761189870456000000,1761189930276000000,0
writeAction.count,1761189870456000000,1761189930276000000,0
writeAction.median.wait.ms,1761189870456000000,1761189930276000000,0
writeAction.max.wait.ms,1761189870456000000,1761189930276000000,1
writeAction.wait.ms,1761189870456000000,1761189930276000000,0
IndexesFlusher.totalFlushingTimeUs,1761189870456000000,1761189930276000000,293741
IndexesFlusher.totalFlushes,1761189870456000000,1761189930276000000,59
IndexesFlusher.totalContentionQuotaSpent,1761189870456000000,1761189930276000000,0
IndexesFlusher.totalFlushesRetried,1761189870456000000,1761189930276000000,0
VFS.fileChildByName,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsUncompressedSize,1761189870456000000,1761189930276000000,0
VFS.fileByIdCache.misses,1761189870456000000,1761189930276000000,0
FileNameCache.totalMisses,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsStored,1761189870456000000,1761189930276000000,0
VFS.invertedFileNameIndex.requests,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsDeduplicated,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsRead,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsReadDecompressed,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsStoredCompressed,1761189870456000000,1761189930276000000,0
VFS.fileByIdCache.hits,1761189870456000000,1761189930276000000,0
FileNameCache.queries,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsReadSize,1761189870456000000,1761189930276000000,0
VFS.contentStorage.recordsStoredSize,1761189870456000000,1761189930276000000,0
FlushQueue.waitingTime90PNs,1761189870456000000,1761189930276000000,0
WriteAction.executionsCount,1761189870456000000,1761189930276000000,0
FlushQueue.queueSize90P,1761189870456000000,1761189930276000000,0
FlushQueue.waitingTimeMaxNs,1761189870456000000,1761189930276000000,0
FlushQueue.tasksExecuted,1761189870456000000,1761189930276000000,0
AWTEventQueue.dispatchTime90PNs,1761189870456000000,1761189930276000000,0
AWTEventQueue.dispatchTimeAvgNs,1761189870456000000,1761189930276000000,0.0
FlushQueue.executionTimeMaxNs,1761189870456000000,1761189930276000000,0
FlushQueue.executionTimeAvgNs,1761189870456000000,1761189930276000000,0.0
FlushQueue.queueSizeAvg,1761189870456000000,1761189930276000000,0.0
ReadAction.executionsCount,1761189870456000000,1761189930276000000,0
AWTEventQueue.dispatchTimeMaxNs,1761189870456000000,1761189930276000000,0
AWTEventQueue.eventsDispatched,1761189870456000000,1761189930276000000,0
AWTEventQueue.dispatchTimeTotalNS,1761189870456000000,1761189930276000000,87884262
FlushQueue.queueSizeMax,1761189870456000000,1761189930276000000,0
FlushQueue.executionTime90PNs,1761189870456000000,1761189930276000000,0
FlushQueue.waitingTimeAvgNs,1761189870456000000,1761189930276000000,0.0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761189870456000000,1761189930276000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761189870456000000,1761189930276000000,0
FilePageCache.disposedBuffers,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalBytesRead,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesWritten,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesReadMs,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalBytesWritten,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1761189870456000000,1761189930276000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1761189870456000000,1761189930276000000,0
MappedFileStorage.totalPagesMapped,1761189870456000000,1761189930276000000,6
FilePageCache.totalPageDisposalsUs,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesAllocated,1761189870456000000,1761189930276000000,0
DirectByteBufferAllocator.reclaimed,1761189870456000000,1761189930276000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.nativeBytesInUse,1761189870456000000,1761189930276000000,0
FilePageCache.totalPageLoadsUs,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.heapBytesInUse,1761189870456000000,1761189930276000000,0
FilePageCache.uncachedFileAccess,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1761189870456000000,1761189930276000000,0
DirectByteBufferAllocator.misses,1761189870456000000,1761189930276000000,0
FilePageCache.maxRegisteredFiles,1761189870456000000,1761189930276000000,531
FilePageCache.pageLoadsAboveSizeThreshold,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761189870456000000,1761189930276000000,0
DirectByteBufferAllocator.hits,1761189870456000000,1761189930276000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761189870456000000,1761189930276000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761189870456000000,1761189930276000000,199245824
StorageLockContext.competingThreads.90P,1761189870456000000,1761189930276000000,0
StreamlinedBlobStorage.recordsDeleted,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalBytesRequested,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1761189870456000000,1761189930276000000,0
MappedFileStorage.totalBytesMapped,1761189870456000000,1761189930276000000,164626432
StreamlinedBlobStorage.recordsAllocated,1761189870456000000,1761189930276000000,0
FilePageCache.maxCacheSizeInBytes,1761189870456000000,1761189930276000000,199245824
FilePageCache.pageFastCacheHits,1761189870456000000,1761189930276000000,0
StreamlinedBlobStorage.recordsRelocated,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761189870456000000,1761189930276000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761189870456000000,1761189930276000000,825944
FilePageCache.pageHits,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761189870456000000,1761189930276000000,0
DirectByteBufferAllocator.disposed,1761189870456000000,1761189930276000000,0
StorageLockContext.competingThreads.max,1761189870456000000,1761189930276000000,0
FilePageCacheLockFree.totalPagesRequested,1761189870456000000,1761189930276000000,0
StorageLockContext.competingThreads.avg,1761189870456000000,1761189930276000000,0.0
MappedFileStorage.storages,1761189870456000000,1761189930276000000,6
FilePageCache.pageLoads,1761189870456000000,1761189930276000000,0
FilePageCache.capacityInBytes,1761189870456000000,1761189930276000000,503316478
cacheStateStorage.set.duration,1761189930276000000,1761189990284000000,0
cacheStateStorage.get.duration,1761189930276000000,1761189990284000000,0
cacheStateStorage.set.counter,1761189930276000000,1761189990284000000,0
cacheStateStorage.get.counter,1761189930276000000,1761189990284000000,0
writeAction.count,1761189930276000000,1761189990284000000,0
writeAction.median.wait.ms,1761189930276000000,1761189990284000000,0
writeAction.max.wait.ms,1761189930276000000,1761189990284000000,1
writeAction.wait.ms,1761189930276000000,1761189990284000000,0
IndexesFlusher.totalFlushingTimeUs,1761189930276000000,1761189990284000000,278059
IndexesFlusher.totalFlushes,1761189930276000000,1761189990284000000,58
IndexesFlusher.totalContentionQuotaSpent,1761189930276000000,1761189990284000000,0
IndexesFlusher.totalFlushesRetried,1761189930276000000,1761189990284000000,0
VFS.fileChildByName,1761189930276000000,1761189990284000000,8
VFS.contentStorage.recordsUncompressedSize,1761189930276000000,1761189990284000000,0
VFS.fileByIdCache.misses,1761189930276000000,1761189990284000000,0
FileNameCache.totalMisses,1761189930276000000,1761189990284000000,0
VFS.contentStorage.recordsStored,1761189930276000000,1761189990284000000,0
VFS.invertedFileNameIndex.requests,1761189930276000000,1761189990284000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1761189930276000000,1761189990284000000,0
VFS.contentStorage.recordsDeduplicated,1761189930276000000,1761189990284000000,0
VFS.contentStorage.recordsRead,1761189930276000000,1761189990284000000,0
VFS.contentStorage.recordsReadDecompressed,1761189930276000000,1761189990284000000,0
VFS.contentStorage.recordsStoredCompressed,1761189930276000000,1761189990284000000,0
VFS.fileByIdCache.hits,1761189930276000000,1761189990284000000,0
FileNameCache.queries,1761189930276000000,1761189990284000000,576
VFS.contentStorage.recordsReadSize,1761189930276000000,1761189990284000000,0
VFS.contentStorage.recordsStoredSize,1761189930276000000,1761189990284000000,0
FlushQueue.waitingTime90PNs,1761189930276000000,1761189990284000000,0
WriteAction.executionsCount,1761189930276000000,1761189990284000000,0
FlushQueue.queueSize90P,1761189930276000000,1761189990284000000,0
FlushQueue.waitingTimeMaxNs,1761189930276000000,1761189990284000000,0
FlushQueue.tasksExecuted,1761189930276000000,1761189990284000000,0
AWTEventQueue.dispatchTime90PNs,1761189930276000000,1761189990284000000,0
AWTEventQueue.dispatchTimeAvgNs,1761189930276000000,1761189990284000000,0.0
FlushQueue.executionTimeMaxNs,1761189930276000000,1761189990284000000,0
FlushQueue.executionTimeAvgNs,1761189930276000000,1761189990284000000,0.0
FlushQueue.queueSizeAvg,1761189930276000000,1761189990284000000,0.0
ReadAction.executionsCount,1761189930276000000,1761189990284000000,39
AWTEventQueue.dispatchTimeMaxNs,1761189930276000000,1761189990284000000,0
AWTEventQueue.eventsDispatched,1761189930276000000,1761189990284000000,0
AWTEventQueue.dispatchTimeTotalNS,1761189930276000000,1761189990284000000,364114913
FlushQueue.queueSizeMax,1761189930276000000,1761189990284000000,0
FlushQueue.executionTime90PNs,1761189930276000000,1761189990284000000,0
FlushQueue.waitingTimeAvgNs,1761189930276000000,1761189990284000000,0.0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1761189930276000000,1761189990284000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1761189930276000000,1761189990284000000,0
FilePageCache.disposedBuffers,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalBytesRead,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPagesWritten,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPagesReadMs,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalBytesWritten,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1761189930276000000,1761189990284000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1761189930276000000,1761189990284000000,0
MappedFileStorage.totalPagesMapped,1761189930276000000,1761189990284000000,6
FilePageCache.totalPageDisposalsUs,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPagesAllocated,1761189930276000000,1761189990284000000,0
DirectByteBufferAllocator.reclaimed,1761189930276000000,1761189990284000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.nativeBytesInUse,1761189930276000000,1761189990284000000,0
FilePageCache.totalPageLoadsUs,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.heapBytesInUse,1761189930276000000,1761189990284000000,0
FilePageCache.uncachedFileAccess,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1761189930276000000,1761189990284000000,0
DirectByteBufferAllocator.misses,1761189930276000000,1761189990284000000,0
FilePageCache.maxRegisteredFiles,1761189930276000000,1761189990284000000,531
FilePageCache.pageLoadsAboveSizeThreshold,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPagesHandedOver,1761189930276000000,1761189990284000000,0
DirectByteBufferAllocator.hits,1761189930276000000,1761189990284000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761189930276000000,1761189990284000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761189930276000000,1761189990284000000,199245824
StorageLockContext.competingThreads.90P,1761189930276000000,1761189990284000000,0
StreamlinedBlobStorage.recordsDeleted,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalBytesRequested,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPagesWriteMs,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1761189930276000000,1761189990284000000,0
MappedFileStorage.totalBytesMapped,1761189930276000000,1761189990284000000,164626432
StreamlinedBlobStorage.recordsAllocated,1761189930276000000,1761189990284000000,0
FilePageCache.maxCacheSizeInBytes,1761189930276000000,1761189990284000000,199245824
FilePageCache.pageFastCacheHits,1761189930276000000,1761189990284000000,0
StreamlinedBlobStorage.recordsRelocated,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPagesReclaimed,1761189930276000000,1761189990284000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1761189930276000000,1761189990284000000,825944
FilePageCache.pageHits,1761189930276000000,1761189990284000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1761189930276000000,1761189990284000000,0
